ODIS_ID,ODIS URI,RECORD_OMSCHRIJVING,Soort_N,Waarde_N
70,http://www.odis.be/lnk/PS_70,Jean-François Tuyaerts (1803-1868),F4N2,"Tuyaerts-Peeters, Jean-François"
70,http://www.odis.be/lnk/PS_70,Jean-François Tuyaerts (1803-1868),F4N5,"Tuyaerts-Peeters, Jean"
71,http://www.odis.be/lnk/PS_71,Michel De Brouwer-Pierets (1776-1862),F1N1,"De Brouwer, Michel"
71,http://www.odis.be/lnk/PS_71,Michel De Brouwer-Pierets (1776-1862),F1N5,"De Brouwer, Michael"
71,http://www.odis.be/lnk/PS_71,Michel De Brouwer-Pierets (1776-1862),F4N1,"De Brouwer-Pierets, Michel"
71,http://www.odis.be/lnk/PS_71,Michel De Brouwer-Pierets (1776-1862),F4N5,"De Brouwer-Pierets, Michael"
72,http://www.odis.be/lnk/PS_72,Henri Lauwers-de Brouwer (1789-1871),F1N1,"Lauwers, Hendrik"
72,http://www.odis.be/lnk/PS_72,Henri Lauwers-de Brouwer (1789-1871),F1N2,"Lauwers, Henri"
72,http://www.odis.be/lnk/PS_72,Henri Lauwers-de Brouwer (1789-1871),F1N5,"Lauwers, Henricus"
72,http://www.odis.be/lnk/PS_72,Henri Lauwers-de Brouwer (1789-1871),F4N1,"Lauwers-de Brouwer, Hendrik"
72,http://www.odis.be/lnk/PS_72,Henri Lauwers-de Brouwer (1789-1871),F4N2,"Lauwers-de Brouwer, Henri"
72,http://www.odis.be/lnk/PS_72,Henri Lauwers-de Brouwer (1789-1871),F4N5,"Lauwers-de Brouwer, Henricus"
73,http://www.odis.be/lnk/PS_73,Jacobus Tessens (1797-1867),F1N1,"Tessens, Jan-Jacob"
73,http://www.odis.be/lnk/PS_73,Jacobus Tessens (1797-1867),F1N2,"Tessens, Jean Jacques"
73,http://www.odis.be/lnk/PS_73,Jacobus Tessens (1797-1867),F1N3,"Tessens, Koben"
73,http://www.odis.be/lnk/PS_73,Jacobus Tessens (1797-1867),F1N5,"Tessens, Joannes"
74,http://www.odis.be/lnk/PS_74,Alphonse della Faille de Leverghem (1809-1879),F1N5,"Dellafaille, Alphonse"
74,http://www.odis.be/lnk/PS_74,Alphonse della Faille de Leverghem (1809-1879),F4N5,"della Faille de Leverghem, Alphonse"
75,http://www.odis.be/lnk/PS_75,Josephus Serigiers (1803-1866),F1N1,"Serigiers, Josephus"
75,http://www.odis.be/lnk/PS_75,Josephus Serigiers (1803-1866),F1N5,"Serigiers, Joseph"
77,http://www.odis.be/lnk/PS_77,Louis Berckmans (1801-),F1N1,"Berckmans, Lodewijk"
77,http://www.odis.be/lnk/PS_77,Louis Berckmans (1801-),F1N5,"Berckmans, Louis"
78,http://www.odis.be/lnk/PS_78,Jacobus Bosmans (1783-1862),F1N1,"Bosmans, Jacob"
78,http://www.odis.be/lnk/PS_78,Jacobus Bosmans (1783-1862),F1N2,"Bosmans, Jacques"
78,http://www.odis.be/lnk/PS_78,Jacobus Bosmans (1783-1862),F1N5,"Bosmans, Jacobus"
79,http://www.odis.be/lnk/PS_79,Charles de Marnix (1807-1862),F1N1,"de Marnix, Karel"
79,http://www.odis.be/lnk/PS_79,Charles de Marnix (1807-1862),F1N5,"de Marnix, Charles"
80,http://www.odis.be/lnk/PS_80,Jacobus Dens (1793-1873),F1N1,"Dens, Jacob"
80,http://www.odis.be/lnk/PS_80,Jacobus Dens (1793-1873),F1N2,"Dens, Jacques"
80,http://www.odis.be/lnk/PS_80,Jacobus Dens (1793-1873),F1N5,"Dens, Jacobus"
81,http://www.odis.be/lnk/PS_81,Norbert Hermans (1801-1874),F1N5,"Hermans, Norbert"
82,http://www.odis.be/lnk/PS_82,Melchior Kramp (1799-1871),F1N5,"Kramp, Melchior"
83,http://www.odis.be/lnk/PS_83,Henri Le Brasseur (1800-1883),F1N1,"Le Brasseur, Henri"
83,http://www.odis.be/lnk/PS_83,Henri Le Brasseur (1800-1883),F1N5,"Le Brasseur, Henry"
83,http://www.odis.be/lnk/PS_83,Henri Le Brasseur (1800-1883),F4N1,"Le Brasseur-Van den Bogaert, Henri"
83,http://www.odis.be/lnk/PS_83,Henri Le Brasseur (1800-1883),F4N5,"Le Brasseur-Van den Bogaert, Henry"
84,http://www.odis.be/lnk/PS_84,Jean Mannekens-van Lidth de Jeude (1800-1847),F1N1,"Mannekens, Jan"
84,http://www.odis.be/lnk/PS_84,Jean Mannekens-van Lidth de Jeude (1800-1847),F1N5,"Mannekens, Jean"
84,http://www.odis.be/lnk/PS_84,Jean Mannekens-van Lidth de Jeude (1800-1847),F4N1,"Mannekens-van Lidth de Jeude, Jan"
84,http://www.odis.be/lnk/PS_84,Jean Mannekens-van Lidth de Jeude (1800-1847),F4N5,"Mannekens-van Lidth de Jeude, Jean"
85,http://www.odis.be/lnk/PS_85,Henri Mermans (1781-1848),F1N1,"Mermans, Hendrik"
85,http://www.odis.be/lnk/PS_85,Henri Mermans (1781-1848),F1N2,"Mermans, Henri"
85,http://www.odis.be/lnk/PS_85,Henri Mermans (1781-1848),F1N5,"Mermans, Henricus"
86,http://www.odis.be/lnk/PS_86,Charles Moens (1803-1843),F1N1,"Moens, Karel"
86,http://www.odis.be/lnk/PS_86,Charles Moens (1803-1843),F1N5,"Moens, Charles"
89,http://www.odis.be/lnk/PS_89,Louis van de Werve (1791-1850),F1N1,"Van de Werve, Louis"
89,http://www.odis.be/lnk/PS_89,Louis van de Werve (1791-1850),F1N5,"Van de Werve, Ludovicus"
89,http://www.odis.be/lnk/PS_89,Louis van de Werve (1791-1850),F2N1,"van de Werve, Louis"
89,http://www.odis.be/lnk/PS_89,Louis van de Werve (1791-1850),F2N5,"van de Werve, Ludovicus"
89,http://www.odis.be/lnk/PS_89,Louis van de Werve (1791-1850),F3N1,"van de Werve en de Vorselaer, Louis"
89,http://www.odis.be/lnk/PS_89,Louis van de Werve (1791-1850),F3N5,"van de Werve en de Vorselaer, Ludovicus"
89,http://www.odis.be/lnk/PS_89,Louis van de Werve (1791-1850),F4N1,"Van de Werve de Vorsselaer, Louis"
89,http://www.odis.be/lnk/PS_89,Louis van de Werve (1791-1850),F4N5,"Van de Werve de Vorsselaer, Ludovicus"
90,http://www.odis.be/lnk/PS_90,Jean Michel van Havre-Stier (1764-1844),F1N1,"van Havre, Jan"
90,http://www.odis.be/lnk/PS_90,Jean Michel van Havre-Stier (1764-1844),F1N2,"van Havre, Jean Michel"
90,http://www.odis.be/lnk/PS_90,Jean Michel van Havre-Stier (1764-1844),F1N5,"van Havre, Joannes"
90,http://www.odis.be/lnk/PS_90,Jean Michel van Havre-Stier (1764-1844),F4N1,"van Havre-Stier, Jan"
90,http://www.odis.be/lnk/PS_90,Jean Michel van Havre-Stier (1764-1844),F4N2,"van Havre-Stier, Jean Michel"
90,http://www.odis.be/lnk/PS_90,Jean Michel van Havre-Stier (1764-1844),F4N5,"van Havre-Stier, Joannes"
91,http://www.odis.be/lnk/PS_91,François Wouters-Van Welhuysen (1784-1849),F1N1,"Wouters, François"
91,http://www.odis.be/lnk/PS_91,François Wouters-Van Welhuysen (1784-1849),F1N5,"Wouters, Franciscus"
91,http://www.odis.be/lnk/PS_91,François Wouters-Van Welhuysen (1784-1849),F4N1,"Wouters-Van Welhuysen, François"
91,http://www.odis.be/lnk/PS_91,François Wouters-Van Welhuysen (1784-1849),F4N5,"Wouters-Van Welhuysen, Franciscus"
92,http://www.odis.be/lnk/PS_92,J.B. d'Egremont,F1N5,"d'Egremont, J.B."
